Franchise,Title,Release Order,Year,Box Office,Rating
Thor,Thor,1,2011,"$449,326,618",7.0
Thor,Thor: The Dark World,2,2013,"$644,783,140",6.8
Thor,Thor: Ragnarok,3,2017,"$853,983,811",7.9
Thor,Thor: Love and Thunder,4,2022,"$760,928,081",6.2
Avengers,The Avengers,1,2012,"$1,518,815,515",8.0
Avengers,Avengers: Age of Ultron,2,2015,"$1,402,809,540",7.3
Avengers,Avengers: Infinity War,3,2018,"$2,048,359,754",8.4
Avengers,Avengers: Endgame,4,2019,"$2,799,439,100",8.4
Toy Story,Toy Story,1,1995,"$373,554,033",8.3
Toy Story,Toy Story 2,2,1999,"$497,375,381",7.9
Toy Story,Toy Story 3,3,2010,"$1,066,970,811",8.3
Toy Story,Toy Story 4,4,2019,"$1,073,841,394",7.7
Ocean's Eleven,Ocean's Eleven,1,2001,"$450,717,150",7.7
Ocean's Eleven,Ocean's Twelve,2,2004,"$362,989,834",6.5
Ocean's Eleven,Ocean's Thirteen,3,2007,"$311,312,624",6.9
Ocean's Eleven,Ocean's Eight,4,2018,"$297,793,072",6.3
Men in Black,Men in Black,1,1997,"$589,390,539",7.3
Men in Black,Men in Black II,2,2002,"$441,818,403",6.2
Men in Black,Men in Black 3,3,2012,"$624,026,776",6.8
Men in Black,Men in Black: International,4,2019,"$253,890,701",5.6
Madagascar,Madagascar,1,2005,"$542,063,846",6.9
Madagascar,Madagascar: Escape 2 Africa,2,2008,"$603,900,354",6.6
Madagascar,Madagascar 3: Europe's Most Wanted,3,2012,"$746,921,274",6.8
Madagascar,Penguins of Madagascar,4,2014,"$373,552,094",6.6
Spy Kids,Spy Kids,1,2001,"$147,934,180",5.6
Spy Kids,Spy Kids 2: The Island of Lost Dreams,2,2002,"$119,723,358",5.3
Spy Kids,Spy Kids 3-D: Game Over,3,2003,"$197,011,982",4.3
Spy Kids,Spy Kids: All the Time in the World,4,2011,"$85,564,310",3.5
Jaws,Jaws,1,1975,"$476,512,065",8.1
Jaws,Jaws 2,2,1978,"$208,900,354",5.8
Jaws,Jaws 3-D,3,1983,"$87,987,055",3.7
Jaws,Jaws: The Revenge,4,1987,"$51,881,013",3.0
Lethal Weapon,Lethal Weapon,1,1987,"$120,207,412",7.6
Lethal Weapon,Lethal Weapon 2,2,1989,"$227,853,986",7.2
Lethal Weapon,Lethal Weapon 3,3,1992,"$321,731,527",6.7
Lethal Weapon,Lethal Weapon 4,4,1998,"$285,444,603",6.6
Evil Dead,The Evil Dead,1,1981,"$2,400,000",7.4
Evil Dead,Evil Dead II,2,1987,"$5,923,044",7.7
Evil Dead,Army of Darkness,3,1992,"$21,502,422",7.4
Evil Dead,Evil Dead,4,2013,"$97,542,952",6.5
